trial_id,current_policy_stockouts,current_policy_cost,optimized_policy_stockouts,optimized_policy_cost
246,72.0,1918.0818209442095,51.0,1979.0881661385433
247,68.0,1961.7949914751293,54.0,2084.663233872103
248,68.0,2139.3705079479932,55.0,2086.3703128042584
249,68.0,1941.1414666527924,54.0,2042.7246454553829
250,76.0,1993.546576341773,58.0,2061.44236746042
251,74.0,1971.476265143576,63.0,2104.8200026023615
252,78.0,2128.4098581563694,48.0,2023.7048763939356
253,76.0,2010.0564975187158,56.0,2095.095972951592
254,78.0,2054.1784928790553,67.0,2084.7051875166867
255,58.0,1821.7046545860435,66.0,2272.3644869564687
256,70.0,2071.4258671617195,57.0,2074.1866829012856
257,67.0,2163.303598788835,60.0,2146.9832347837355
258,69.0,1941.946373735896,47.0,2218.320765586818
259,84.0,2037.0947034672572,69.0,2179.331608144804
260,74.0,1859.9428809053377,46.0,1987.30432748348
261,73.0,1952.9405876862954,66.0,2147.89384030583
262,67.0,1908.979704423816,47.0,2113.621731513408
263,67.0,2133.153258917698,53.0,2163.7080910612945
264,77.0,2055.978846026653,63.0,2143.9150878175165
265,71.0,1893.0869317601591,66.0,2179.3330782235266
266,77.0,1943.5777310407161,67.0,2173.2583440676867
267,77.0,1940.320843550151,61.0,2044.8797204413845
268,72.0,1968.9606499422189,51.0,2110.413795601213
269,76.0,2093.9594480374612,51.0,2035.463149877748
270,72.0,1935.1147557446789,53.0,2094.528507810223
271,72.0,1955.243359418693,50.0,2088.9189768352485
272,71.0,1964.6181622922727,67.0,2049.6721473845146
273,67.0,2003.5431467638714,59.0,2079.8518250894144
274,83.0,2039.604952716268,56.0,2041.0796821824688
275,62.0,1965.2775974020144,53.0,2097.687315167819
276,83.0,2026.516496068761,49.0,2007.8117663221067
277,72.0,1988.5238897041124,60.0,2090.3357193501593
278,68.0,1962.352519523418,59.0,2078.66640474339
279,62.0,1920.8634611316509,57.0,2016.8421736803266
280,80.0,2215.388200084842,61.0,2156.3226876008503
281,72.0,1947.3259786320114,36.0,2013.578674437466
282,81.0,1991.3399808168463,45.0,2141.7068033871724
283,75.0,2076.74715943911,63.0,2286.8980519714605
284,71.0,1973.1997208574298,55.0,2105.7850491894105
285,85.0,1945.660470007348,47.0,2004.6138372978423
286,75.0,1984.310497532406,49.0,2011.7057126735763
287,81.0,2194.4698715768764,58.0,2116.8653279027444
288,61.0,2203.2016765815397,72.0,2136.8582411146654
289,56.0,1966.4976829579493,53.0,2097.9932406985035
290,70.0,2072.9127025663165,57.0,2088.0717482239897
291,61.0,2052.6068814921837,49.0,2100.9518584386756
292,87.0,2169.172537244119,61.0,2054.3912755917095
293,65.0,1925.65458728625,52.0,2107.6551657192363
294,68.0,2076.3845594930863,57.0,2071.149989998272
295,75.0,1916.4564195433684,52.0,2072.8795779148318
296,67.0,2147.5993515161954,57.0,2037.1414209429747
297,73.0,1993.6053050756327,51.0,2038.981982519929
298,83.0,2012.7000083015173,63.0,2295.752325208825
299,77.0,1972.416648549635,60.0,2060.980519723727
300,59.0,1811.6412725882044,58.0,2128.3218479890425
301,82.0,1988.756196000176,59.0,2095.669030120011
302,66.0,1917.723115137666,58.0,2012.713497117159
303,64.0,2031.3681302885057,58.0,1990.0751717480805
304,64.0,1979.6121253252613,62.0,2122.241840203026
305,86.0,2089.2868571394197,58.0,2170.3703407398207
306,75.0,2072.7255033472698,59.0,2104.1864983950954
307,74.0,2058.9227818228287,48.0,2079.9339001256417
308,89.0,2054.209573635866,59.0,2082.023385465997
309,74.0,1921.1167616609994,61.0,2102.8057560055813
310,76.0,2031.040673275584,56.0,2040.390804232185
311,68.0,2028.83288137355,67.0,2140.4169620898488
312,68.0,2037.8481893153817,67.0,2255.4937717844837
313,89.0,1999.5648889528622,46.0,2070.6824216966725
314,74.0,1980.2640535306884,53.0,2066.851973853843
315,77.0,1971.1508600177478,60.0,2124.4976541973747
